timestamp,eta_text,sample_item_name_text,sample_item_price_text,restaurant_name_text,address_text
2026-05-01T13:34:00,10 min,Pepperoni,$129.00,Little Caesars (San Nicolás),"Av. San Nicolás #810, Monterrey, 66400"
2026-05-01T13:34:21,16 min,PRINCIPE (1 INGREDIENTE) EXTRA GRANDE 10 REBANAS,$119.00,Queen's Pizza (Las Puentes),"Av. Las Puentes 659, San Nicolás De Los Garza, LATAM 66460"
2026-05-01T13:34:31,25 min,Combo Individual Tacos,$135.00,Tacos Pacos - Mañaneros (Bartolome), El valor mínimo del pedido para esta tienda es de $150
2026-05-01T13:34:42,10 min,Combo quesabirrias,$129.00,Birrieria Monterrey (Las Puentes),"Avenida Cordillera De Los Andes 824, Residencial Las Puentes , Local B, San Nicolás De Los Garza, LATAM 66460"
2026-05-01T13:34:53,29 min,Menú L-V Buch Delivery,$166.80,Buchakas Anahuac (Monterrey),"Av. Manuel L. Barragan 325, Anáhuac, San Nicolás De Los Garza, Nuevo León 66422"
2026-05-01T13:35:16,25 min,Burrito Mix Asada Combo.,$232.00,Dobo (Plaza Fiesta Anahuac),"Plaza Fiesta Anahuac. Avenida Manuel L. Barragan 325 Norte, Residencial Anahuac, LATAM 64920"
2026-05-01T13:35:37,10 min,TOSTADA ESPECIAL,$99.00,Taqueria Los Gigantes (Monterrey),"Calle Benito Juárez 412, Centro, 66400 San Nicolás De Los Garza, N.L., Mexico, N.L. 66400"
2026-05-01T13:35:48,10 min,Combo quesabirrias,$129.00,Birrieria Monterrey (Las Puentes),"Avenida Cordillera De Los Andes 824, Residencial Las Puentes , Local B, San Nicolás De Los Garza, LATAM 66460"
2026-05-01T13:35:57,11 min,Pizza Sarten 1-4 ing,$229.00,Domino's (Las puentes),
2026-05-01T13:36:08,10 min,Pepperoni,$129.00,Little Caesars (San Nicolás),"Av. San Nicolás #810, Monterrey, 66400"
